marker_token	representation	protein_resolution	rationale	source_ref	registry_sha256
CCR4	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CCR4	92a259ce694c97036005ca94363ab60cdf2c07dd4465f136ad8373345571fbeb
CCR6	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CCR6	dd41080790bdb3b9cc1b258f3b4f17024162a4bd7af398d26e6065806c6f016b
CD10	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD10	189b99e3ca24d72b63581e906db05fdce2427b67169f38465e976cd8a40ec9c4
CD117	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD117	4bf76b64c7da8abcf0397922b199fab9771a83005c85c0af5815d29b15b9d735
CD11C	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD11c	927410701d8301054de6eabf3e66edda2805061fd34d5c566cfea49bbfbb0931
CD123	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD123	af15c6e28315d5d5b091949f3d604db639bfd89e01721e916fb8d530091daa2b
CD127	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD127	0fe9974e9d75510578b02748379254855e3feeab2e16248cdedeb1c3ee504d65
CD138	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD138	9cc54f5fcd78013f8e7c99eb32410d8e55ae85c7b25dac314f095f19c736048c
CD14	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD14	d58b59b3d3d8e8446ef2be8f99beebb8ddbda1f788130737b4a20f57382408d9
CD141	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD141	427b96ef42d73b5bb5411b83fb6a5a9c9d62bd861360fc509f5f9b910657fcba
CD15	unresolved	withhold	Conservative hold: registry protein label or reagent context does not explicitly establish whole-marker identity; review required.	marker_mappings/marker_protein_gene.csv#CD15	f325259074857563bb021becc9b5ec90937ba529aed5be7c5c58e854c34c823d
CD16	unresolved	withhold	Conservative hold: registry protein label or reagent context does not explicitly establish whole-marker identity; review required.	marker_mappings/marker_protein_gene.csv#CD16	a7a9cad253db0e9a36b0bf2b5efa04ded5e314c01b3166d19623519f6a3f43e7
CD161	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD161	a00a3bff850030588e3dec0bf6bb6a357094e15ad9340e49e3b9b82b74bc17b2
CD172A	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD172a	8aa1edf51a28be1cbf8a85aac530a28a6eeaeb63f743635e3ad470650a7a3faa
CD183	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD183	2c4d474ae9950ae9e6bbaa9c000f9b7859f940dea922176c90a82ce5caf63c83
CD185	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD185	90cc4084aacbba0d63a1794fa93e45dfff222d1cdb7d8765bb91fd1612410251
CD19	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD19	cfefbefa4fc565abb7aab6080b73ef73c7fc20a30204a80b233dc73c8bef9db1
CD193	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD193	428812131627dc71e9536828d95814c7b70f075cf00d367fba9ae851189ef70c
CD194	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD194	d770a2f6824de9ca6b8be94f908377c2309cfb12e5be7a395df525e31ca2148c
CD196	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD196	ba5d384cfa94446a14a33cc4a126bc2fb759bac654a6c6a261f8e4bf8add84c9
CD198	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD198	fd160c33da0e4004c60a00f67731f336619293a663aec372b1ff5c01eb82219a
CD1C	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD1c	ec9943c17324c73a53427964a51c264e9b86e1a6755eb850c1bc943a8126f554
CD1D-A-GALCER	reagent_gate	withhold	Registry notes describe a reagent, lipid antigen, or carbohydrate epitope rather than a single protein.	marker_mappings/marker_protein_gene.csv#CD1d-a-GalCer	ca0282e7ce4edd98e9c762657870f3556de86befddf8c33100fbbfcb7a800f01
CD20	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD20	0666c2a713f30454576d62dedecb049fdca0acecbd50bc08804116bd160f7c25
CD21	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD21	e60e1a4490685b99e9674d65469bacd24a97d6dd0950210f7a3c7453d86579b1
CD24	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD24	e1cdc47dfa67d7f67019de006ba704a9d2bf0b13d04f0bbed037e8fede953bec
CD25	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD25	5951ea552f766b80cf59b979f41ba02de31750f5c0f6fbb1b21e55b67f3b82ab
CD27	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD27	e2bab281c9ec4622d3a2658385860ce789df4f4577a7bebb3f73976a9fcd82ab
CD294	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD294	4bdfb21b9889754554aaaeb73cfaed4816ac01c39857fb81b064b61f3bee8cc7
CD3	unresolved	withhold	Conservative hold: registry protein label or reagent context does not explicitly establish whole-marker identity; review required.	marker_mappings/marker_protein_gene.csv#CD3	4826e9aa340c65ec06caf2fc26791ec3be9f372584b3f28d2f4e7dc47857dfe0
CD303	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD303	d098d8dc137622844570ce28ad2dd380e9c669d67864e5248c937e431e2bb6c3
CD33	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD33	1de2ca7ac6bfd4daca770841d698b5635586630584ac1a6d8fd8f16537ea3e90
CD34	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD34	ee16d3e65d632814251ced067773c95046ec569930b3dc4d22c9da1d9409c640
CD38	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD38	a9443ead57bee08f430cd3737fc54621c649a971ee7e05530042406994fbbfb3
CD4	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD4	0f768b0ba2691f0fdc2c64d396b8f89f5211d05b6773ee5dcfa2bb41bbff319c
CD45	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD45	c2144181df41b433bc4c8b7710bfda4122607d87ade0ed2d33ff4865a4b3c49d
CD56	single_protein	allow	Retains the registry's single PRO representation; computational identity only, not biological sign-off.	marker_mappings/marker_protein_gene.csv#CD56	b51d188a6fdfada2e42569c7553233a5f7625ae2976ba24724e84a95db6ceff1
CD57	reagent_gate	withhold	Registry notes describe a reagent, lipid antigen, or carbohydrate epitope rather than a single protein.	marker_mappings/marker_protein_gene.csv#CD57	2cfc4413ee4844d8bb2c3bfddeb2ed6704073cfdefe57381f38270aaee40d080
