marker_token,source_columns,cell_types
CCR4,Required phenotypic markers,
CCR6,Required phenotypic markers,
CD10,Required phenotypic markers,
CD117,Required phenotypic markers,
CD11c,Ideal exclusion|Required phenotypic markers,
CD123,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD127,Ideal exclusion|Required phenotypic markers,
CD138,Required phenotypic markers,
CD14,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD141,Required phenotypic markers,
CD15,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD16,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD161,Ideal phenotypic markers|Required phenotypic markers,
CD172a,Ideal phenotypic markers,
CD183,Required phenotypic markers,
CD185,Required phenotypic markers,
CD19,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD193,Required exclusion|Required phenotypic markers,
CD194,Required phenotypic markers,
CD196,Required phenotypic markers,
CD198,Ideal phenotypic markers,
CD1c,Required phenotypic markers,
CD1d-a-GalCer,Required phenotypic markers,
CD20,Ideal phenotypic markers|Required exclusion|Required phenotypic markers,
CD21,Required phenotypic markers,
CD24,Required phenotypic markers,
CD25,Required phenotypic markers,
CD27,Required phenotypic markers,
CD294,Ideal phenotypic markers|Required phenotypic markers,
CD3,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD303,Required exclusion|Required phenotypic markers,
CD33,Ideal phenotypic markers|Required exclusion|Required phenotypic markers,
CD34,Required exclusion,
CD38,Required phenotypic markers,
CD4,Required phenotypic markers,
CD45,Required phenotypic markers,
CD56,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD57,Required phenotypic markers,
CD64,Ideal phenotypic markers|Required exclusion|Required phenotypic markers,
CD66b,Ideal exclusion|Required exclusion|Required phenotypic markers,
CD8,Required phenotypic markers,
CXCR3,Required phenotypic markers,
CXCR5,Required phenotypic markers,
FceR1a,Ideal phenotypic markers|Required phenotypic markers,
HLA-DR,Ideal exclusion|Ideal phenotypic markers|Required phenotypic markers,
IFNg,Ideal phenotypic markers,
IL-13,Ideal phenotypic markers,
IL-17a,Ideal phenotypic markers,
IL-4,Ideal phenotypic markers,
IL-5,Ideal phenotypic markers,
IL-9,Ideal phenotypic markers,
IgA,Required phenotypic markers,
IgD,Required phenotypic markers,
IgE,Required phenotypic markers,
IgG,Required phenotypic markers,
IgM,Required phenotypic markers,
MR1,Required phenotypic markers,
TCR,Ideal phenotypic markers|Required phenotypic markers,
TCRVa24,Required phenotypic markers,
TCRVa24-Ja18,Required phenotypic markers,
TCRVa7.2,Required phenotypic markers,
TCRVb11,Required phenotypic markers,
TCRVd2,Required phenotypic markers,
TCRVg9,Required phenotypic markers,
TCRab,Required phenotypic markers,
TCRgd,Required phenotypic markers,
TCRva24,Required phenotypic markers,
Tetramer,Required phenotypic markers,
V,Ideal phenotypic markers|Required phenotypic markers,
VB11,Required phenotypic markers,
Vb11,Required phenotypic markers,
Vd1,Required phenotypic markers,
delta,Ideal phenotypic markers|Required phenotypic markers,
delta1,Ideal phenotypic markers,
gamma,Ideal phenotypic markers|Required phenotypic markers,
