abbreviation	full_name	parent	type_of_match	existing_cl_id	marker_cl_id	marker_cl_label	marker_score	marker_conflict	marker_note	lexical_cl_id	lexical_cl_label	lexical_note	agreement
NK	Natural Killer Cell		Exact		CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	23			CL:0000623	natural killer cell		no
NK2	Natural Killer Cell 2	NK	Surface Only (SO)		CL:0000938	CD16-negative, CD56-bright natural killer cell, human	23			CL:4052052	uterine natural killer cell 2, human		no
CTNK	Cytotoxice Natural Killer Cell	NK	SO and Cytokine		CL:0000939	CD16-positive, CD56-dim natural killer cell, human	23					no CL hits	no
NK1	Natural Killer Cell 1	CTNK	SO and TF		CL:0000939	CD16-positive, CD56-dim natural killer cell, human	23			CL:4052051	uterine natural killer cell 1, human		no
NK3	Natural Killer Cell 3	CTNK	TF ONLY		CL:0000939	CD16-positive, CD56-dim natural killer cell, human	23			CL:4052053	uterine natural killer cell 3, human		no
ILCp	Innate Lymphoid Cell Progenitor		Surface Only (SO)		CL:0001073	CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	15			CL:0001082	immature innate lymphoid cell		no
ILC	Innate Lymphoid Cell		Surface Only (SO)		CL:0001057	myeloid dendritic cell, human	25			CL:0001065	innate lymphoid cell		no
ILC1	Innate Lymphoid Cell 1	ILC	Surface Only (SO)		CL:0001057	myeloid dendritic cell, human	29			CL:0001067	group 1 innate lymphoid cell		no
ILC2	Innate Lymphoid Cell 2	ILC	Surface Only (SO)		CL:0001057	myeloid dendritic cell, human	29			CL:0002089	group 2 innate lymphoid cell, mouse		no
ILC3	Innate Lymphoid Cell 3	ILC	Surface Only (SO)		CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	29			CL:0001079	NKp44-positive group 3 innate lymphoid cell, human		no
cDC	Conventional Dendritic Cell		Exact		CL:0002008	CD34-positive, CD38-positive eosinophil progenitor cell	23			CL:0000990	conventional dendritic cell		no
cDC1	Conventional Dendritic Cell 1	DCM	Exact		CL:0002008	CD34-positive, CD38-positive eosinophil progenitor cell	23			CL:0002399	CD1c-positive myeloid dendritic cell		no
cDC2	Conventional Dendritic Cell 2	DCM	Exact		CL:0002008	CD34-positive, CD38-positive eosinophil progenitor cell	23			CL:0002399	CD1c-positive myeloid dendritic cell		no
pDC	Peripheral Dendritic Cell		Exact		CL:0000991	CD11c-negative plasmacytoid dendritic cell	22			CL:4047054	migratory dendritic cell		no
Basophil	Basophil		Exact		CL:0000614	basophilic myelocyte	18	CD15-/CD66B- (all alt. conflict)		CL:0000767	basophil		no
Basophil	Basophil		Exact		CL:0000043	mature basophil	17			CL:0000767	basophil		no
Mono	Monocyte		Exact		CL:0000614	basophilic myelocyte	24			CL:0000576	monocyte		no
CMo	Classical Monocyte	Mono	Exact		CL:0000614	basophilic myelocyte	28			CL:0000860	classical monocyte		no
NCMo	Non-classical Monocyte	Mono	Exact		CL:0000769	basophilic metamyelocyte	28			CL:0000875	non-classical monocyte		no
IntMo	Intermediate Monocyte	Mono	Exact		CL:0000769	basophilic metamyelocyte	28			CL:0002393	intermediate monocyte		no
Neut	Neutrophil		Exact		CL:0000582	neutrophilic metamyelocyte	22			CL:0000775	neutrophil		no
Eos	Eosinophil		Exact		CL:0000612	eosinophilic myelocyte	26			CL:0000771	eosinophil		no
B cell	B cell		Exact		CL:0000819	B-1 B cell	15					OLS4 search failed: HTTPSConnectionPool(host='www.ebi.ac.uk', port=443): Read timed out. (read timeout=15)	no
ASC	Antibody Secreting Cell		Surface Only (SO)		CL:0002115	B220-positive CD38-positive unswitched memory B cell	23			CL:0000946	antibody secreting cell		no
PB	Plasmablast	ASC	Surface Only (SO)		CL:0002115	B220-positive CD38-positive unswitched memory B cell	26			CL:0000980	plasmablast		no
PC	Plasma Cell	ASC	Surface Only (SO)		CL:0000962	Bm2 B cell	16	CD20-		CL:0000786	plasma cell		no
Transitional	Transitional B cell		Exact						no qualified markers found	CL:0000818	transitional stage B cell		no
T1/T2 B	Transitonal B cell 1 and 2				CL:0002109	B220-positive CD38-positive naive B cell	23					no CL hits	no
Mature B	Mature B cell		Exact		CL:0000961	Bm1 B cell	19			CL:0000785	mature B cell		no
T3	Transitional B cell 3	Mature B	Exact		CL:0000961	Bm1 B cell	19			CL:0000960	T3 B cell		no
Naive	Naive B cell	Mature B	Exact		CL:0002102	CD38-negative naive B cell	20			CL:0000788	naive B cell		no
BDN	Double Negative B cells	Mature B	Exact		CL:0002102	CD38-negative naive B cell	19			CL:0002103	IgG-positive double negative memory B cell		no
BDN1	Double Negative B cell 1	BDN	Exact		CL:0000961	Bm1 B cell	23			CL:0000800	mature gamma-delta T cell		no
BDN2	Double Negative B cell 2	BDN	Exact		CL:0002102	CD38-negative naive B cell	20			CL:0000806	DN2 thymocyte		no
BDN3	Double Negative B cell 3	BDN	Exact		CL:0002102	CD38-negative naive B cell	20			CL:0000807	DN3 thymocyte		no
