marker_token,marker_synonyms,source_columns,pro_id,pro_label,uniprot_id,uniprot_label,gene_symbol,hgnc_id,ncbi_gene_id,mapping_method,confidence,evidence,notes
CCR4,CCR4|CD194,Required phenotypic markers,PR:000001200,C-C chemokine receptor type 4,P51679,C-C chemokine receptor type 4,CCR4,HGNC:1605,,inferred,high,reports/cl_pro_relationships.tsv,
CCR6,CCR6|CD196,Required phenotypic markers,PR:000001202,C-C chemokine receptor type 6,P51684,C-C chemokine receptor type 6,CCR6,HGNC:1607,,inferred,high,reports/cl_pro_relationships.tsv,
CD10,,Required phenotypic markers,PR:000001898,neprilysin,P08473,neprilysin,MME,HGNC:7154,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD117,,Required phenotypic markers,PR:000002065,mast/stem cell growth factor receptor,P10721,mast/stem cell growth factor receptor,KIT,HGNC:6342,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD11c,,Ideal exclusion|Required phenotypic markers,PR:000001013,integrin alpha-X,P20702,integrin alpha-X,ITGAX,HGNC:6152,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD123,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001865,interleukin-3 receptor class 2 alpha chain,P26951,interleukin-3 receptor class 2 alpha chain,IL3RA,HGNC:6012,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD127,,Ideal exclusion|Required phenotypic markers,PR:000001869,interleukin-7 receptor subunit alpha,P16871,interleukin-7 receptor subunit alpha,IL7R,HGNC:6024,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD138,,Required phenotypic markers,PR:000001935,syndecan-1,P18827,syndecan-1,SDC1,HGNC:10658,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD14,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001889,CD14 molecule,P08571,CD14 molecule,CD14,HGNC:1628,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD141,,Required phenotypic markers,PR:000002105,thrombomodulin,P07204,thrombomodulin,THBD,HGNC:11784,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD15,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001456,"alpha-(1,3)-fucosyltransferase 4",P22083,"alpha-(1,3)-fucosyltransferase 4",FUT4,HGNC:4015,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD16,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001483,low affinity immunoglobulin gamma Fc region receptor III,,low affinity immunoglobulin gamma Fc region receptor III,,,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD161,,Ideal phenotypic markers|Required phenotypic markers,PR:Q12918,killer cell lectin-like receptor subfamily B member 1 (human),Q12918,killer cell lectin-like receptor subfamily B member 1 (human),KLRB1,HGNC:6373,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD172a,,Ideal phenotypic markers,PR:000001968,tyrosine-protein phosphatase non-receptor type substrate 1,P78324,tyrosine-protein phosphatase non-receptor type substrate 1,SIRPA,HGNC:9662,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD183,CXCR3|CD183,Required phenotypic markers,PR:000001207,C-X-C chemokine receptor type 3,P49682,C-X-C chemokine receptor type 3,CXCR3,HGNC:4540,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD185,CXCR5|CD185,Required phenotypic markers,PR:000001209,C-X-C chemokine receptor type 5,P32302,C-X-C chemokine receptor type 5,CXCR5,HGNC:1060,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD19,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001002,CD19 molecule,P15391,CD19 molecule,CD19,HGNC:1633,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD193,,Required exclusion|Required phenotypic markers,PR:000001255,C-C chemokine receptor type 3,P51677,C-C chemokine receptor type 3,CCR3,HGNC:1604,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD194,CCR4|CD194,Required phenotypic markers,PR:000001200,C-C chemokine receptor type 4,P51679,C-C chemokine receptor type 4,CCR4,HGNC:1605,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD196,CCR6|CD196,Required phenotypic markers,PR:000001202,C-C chemokine receptor type 6,P51684,C-C chemokine receptor type 6,CCR6,HGNC:1607,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD198,,Ideal phenotypic markers,PR:000001204,C-C chemokine receptor type 8,,C-C chemokine receptor type 8,,,,ols4,high,https://www.ebi.ac.uk/ols4/api/search?q=CCR8&ontology=pr; https://nodenormalization-sri.renci.org/1.3/get_normalized_nodes?curie=PR:000001204,
CD1c,,Required phenotypic markers,PR:000002027,T-cell surface glycoprotein CD1c,P29017,T-cell surface glycoprotein CD1c,CD1C,HGNC:1636,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD1d-a-GalCer,,Required phenotypic markers,,,,,,,,manual,low,,lipid antigen (alpha-galactosylceramide) presented by CD1d; not a protein marker
CD20,,Ideal phenotypic markers|Required exclusion|Required phenotypic markers,PR:000001289,membrane-spanning 4-domains subfamily A member 1,P11836,membrane-spanning 4-domains subfamily A member 1,MS4A1,HGNC:7315,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD21,,Required phenotypic markers,PR:000001338,complement receptor type 2,P20023,complement receptor type 2,CR2,HGNC:2336,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD24,,Required phenotypic markers,PR:000001932,signal transducer CD24,P25063,signal transducer CD24,CD24,HGNC:1645,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD25,,Required phenotypic markers,PR:000001380,interleukin-2 receptor subunit alpha,P01589,interleukin-2 receptor subunit alpha,IL2RA,HGNC:6008,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD27,,Required phenotypic markers,PR:000001963,CD27 molecule,P26842,CD27 molecule,CD27,HGNC:11922,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD294,,Ideal phenotypic markers|Required phenotypic markers,PR:Q9Y5Y4,prostaglandin D2 receptor 2 (human),Q9Y5Y4,prostaglandin D2 receptor 2 (human),PTGDR2,HGNC:4502,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD3,,Ideal exclusion|Required exclusion|Required phenotypic markers,PR:000001020,CD3 epsilon,P07766,CD3 epsilon,CD3E,HGNC:1674,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD303,,Required exclusion|Required phenotypic markers,PR:000001292,C-type lectin domain family 4 member C,Q8WTT0,C-type lectin domain family 4 member C,CLEC4C,HGNC:13258,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD33,,Ideal phenotypic markers|Required exclusion|Required phenotypic markers,PR:000001892,CD33 molecule,P20138,CD33 molecule,CD33,HGNC:1659,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD34,,Required exclusion,PR:000001003,CD34 molecule,P28906,CD34 molecule,CD34,HGNC:1662,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
CD38,,Required phenotypic markers,PR:000001408,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,CD38,HGNC:1667,,cl_pro_tsv,high,reports/cl_pro_relationships.tsv,
